

gen best mean std
0 21.174 2.130484 12.467804
1 21.174 10.33169 13.279524
2 30.807043 11.348225 14.273957
3 31.030187 17.127508 10.843978
4 31.030187 16.906277 13.539658
5 38.886318 21.551896 12.728555
6 38.886318 15.159659 16.695189
7 38.886318 17.983209 14.66689
8 38.886318 21.572607 12.174255
9 38.886318 15.322722 16.106092
10 38.886318 18.681441 16.728988
11 38.886318 22.451217 12.304437
12 38.886318 19.573711 16.03199
13 39.648142 19.613946 17.526157
14 39.648142 27.809462 8.044729
15 39.648142 19.836932 16.633558
16 39.648142 19.581672 17.649142
17 39.648142 19.726902 16.554696
18 39.648142 23.353391 13.259666
19 39.648142 16.966501 19.162982
