

gen best mean std
0 13.009567 -1.898705 7.460338
1 13.009567 0.040821 8.417943
2 21.597323 4.655618 10.248199
3 30.470571 11.78061 10.340227
4 48.299556 22.58492 17.495137
5 48.299556 19.739401 20.34614
6 48.299556 23.4476 16.779447
7 48.299556 25.149065 16.137034
8 48.299556 17.915356 21.677127
9 48.299556 22.341399 21.034235

gen best mean std
9 48.299556 22.341399 21.034235
10 48.299556 25.350018 20.466245
11 48.299556 19.944728 22.358204
12 48.299556 21.455313 21.311647
13 48.409013 23.182824 24.087813
14 48.409013 25.061672 22.38983
15 48.409013 19.674066 25.283025
16 48.409013 22.261268 23.279384
17 48.409013 23.506001 22.355935
18 48.409013 26.891095 19.266352
19 48.409013 26.721395 23.576731
